algorithm,input_type,size,avg_time,correct
Insertion Sort,sorted,1000,5e-05,True
Insertion Sort,reversed,1000,0.022119,True
Insertion Sort,random,1000,0.011897,True
Insertion Sort,partially,1000,0.00329,True
