algorithm,input_type,size,avg_time,correct
Selection Sort,sorted,1000,0.009223,True
Selection Sort,reversed,1000,0.01031,True
Selection Sort,random,1000,0.009708,True
Selection Sort,partially,1000,0.009342,True
