algorithm,input_type,size,avg_time,correct
Selection Sort,sorted,1000,0.009615,True
Selection Sort,reversed,1000,0.012012,True
Selection Sort,random,1000,0.010755,True
Selection Sort,partially,1000,0.009982,True
